     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
       273,         0,         0,   0.016,pymatching,44f38e61e25224b1ce171865c229450a639c4b61b55baa833a9e872b77db24eb,"{""d"":7,""p"":0.0001,""r"":7}",
     13312,        39,         0,   0.309,pymatching,346e05d0d9f2a41a5ec24bb63bc22edcb7f4b66ef21d292622ae55fe72ae2254,"{""d"":5,""p"":0.001,""r"":5}","{""obs_mistake_mask=E"":39}"
      1024,         0,         0,   0.039,pymatching,e0b317a6a7a12d5695fe1fed162a98f65e9304b623e114f5001f279c6f80c469,"{""d"":7,""p"":0.00021544346900318845,""r"":7}",
      1024,         0,         0,   0.035,pymatching,44f38e61e25224b1ce171865c229450a639c4b61b55baa833a9e872b77db24eb,"{""d"":7,""p"":0.0001,""r"":7}",
      3072,        65,         0,   0.150,pymatching,b43a5e88172e509df27f1224b311ee42f2f6d7bb017feba16b8458199c323afa,"{""d"":5,""p"":0.002154434690031882,""r"":5}","{""obs_mistake_mask=E"":65}"
      1024,         0,         0,   0.052,pymatching,e0b317a6a7a12d5695fe1fed162a98f65e9304b623e114f5001f279c6f80c469,"{""d"":7,""p"":0.00021544346900318845,""r"":7}",
      1024,         0,         0,   0.030,pymatching,44f38e61e25224b1ce171865c229450a639c4b61b55baa833a9e872b77db24eb,"{""d"":7,""p"":0.0001,""r"":7}",
      1024,         0,         0,   0.032,pymatching,44f38e61e25224b1ce171865c229450a639c4b61b55baa833a9e872b77db24eb,"{""d"":7,""p"":0.0001,""r"":7}",
      1024,         0,         0,   0.039,pymatching,e0b317a6a7a12d5695fe1fed162a98f65e9304b623e114f5001f279c6f80c469,"{""d"":7,""p"":0.00021544346900318845,""r"":7}",
     33792,         0,         0,   0.410,pymatching,7a3aefc2a0d034cdad01f12f3adf4bb59c035b5fef5ebcc7f81fc8b8a2b78697,"{""d"":5,""p"":0.00021544346900318845,""r"":5}",
       512,       256,         0,   0.527,pymatching,7e55582de7f315999daf350197c0b84e7781f860c78ce0db5e7d12aff639a14d,"{""d"":5,""p"":0.1,""r"":5}","{""obs_mistake_mask=E"":256}"
      2048,         0,         0,   0.066,pymatching,44f38e61e25224b1ce171865c229450a639c4b61b55baa833a9e872b77db24eb,"{""d"":7,""p"":0.0001,""r"":7}",
      1024,         0,         0,   0.062,pymatching,e0b317a6a7a12d5695fe1fed162a98f65e9304b623e114f5001f279c6f80c469,"{""d"":7,""p"":0.00021544346900318845,""r"":7}",
     34816,         1,         0,   0.408,pymatching,3900460a63feaeac946f70c12b089f0d3f451dea96e1979d5a7c3835592bdabf,"{""d"":5,""p"":0.0001,""r"":5}","{""obs_mistake_mask=E"":1}"
      2048,         0,         0,   0.068,pymatching,44f38e61e25224b1ce171865c229450a639c4b61b55baa833a9e872b77db24eb,"{""d"":7,""p"":0.0001,""r"":7}",
      2048,         0,         0,   0.073,pymatching,e0b317a6a7a12d5695fe1fed162a98f65e9304b623e114f5001f279c6f80c469,"{""d"":7,""p"":0.00021544346900318845,""r"":7}",
